epoch,nll,penalty,step,train_acc,train_loss,val_acc,val_loss
0,,,389,,,0.14990000426769257,1.4217426776885986
0,0.39027756452560425,0.006134539842605591,389,0.8457131385803223,0.39641207456588745,,
1,,,779,,,0.13930000364780426,1.5758134126663208
1,0.3673321306705475,0.004040889907628298,779,0.8480969667434692,0.3713729977607727,,
2,,,1169,,,0.13300000131130219,1.646808385848999
2,0.35169145464897156,0.0036484405864030123,1169,0.8533052802085876,0.35387086868286133,,
3,,,1559,,,0.17190000414848328,1.6412591934204102
3,0.33196932077407837,0.00404990091919899,1559,0.8605769276618958,0.33200976252555847,,
4,,,1949,,,0.1606999933719635,1.8572670221328735
4,0.3159426152706146,0.002521941903978586,1949,0.8689102530479431,0.3159678280353546,,
