epoch,penalty,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,,389,,,,,0.13580000400543213,1.4032336473464966
0,0.0011930713662877679,389,,,0.8494992256164551,0.385653555393219,,
1,,779,,,,,0.1404000073671341,1.5560951232910156
1,0.000887020374648273,779,,,0.853986382484436,0.3596246540546417,,
2,,1169,,,,,0.1655000001192093,1.5223181247711182
2,0.0006766567821614444,1169,,,0.855629026889801,0.3442789316177368,,
3,,1559,,,,,0.15729999542236328,1.6105895042419434
3,0.0005967370816506445,1559,,,0.8633813858032227,0.3278284966945648,,
4,,1949,,,,,0.19529999792575836,1.640494704246521
4,0.0005068365135230124,1949,,,0.8696314096450806,0.3135526478290558,,
5,,2339,,,,,0.20069999992847443,1.9369884729385376
5,0.0004747724160552025,2339,,,0.8779847621917725,0.29304200410842896,,
6,,2729,,,,,0.2303999960422516,1.8871015310287476
6,0.00045856356155127287,2729,,,0.8869190812110901,0.2756255269050598,,
7,,3119,,,,,0.2451000064611435,2.0299487113952637
7,0.0004650280752684921,3119,,,0.8987379670143127,0.24931755661964417,,
8,,3509,,,,,0.2354000061750412,2.3635647296905518
8,0.000468157377326861,3509,,,0.9072115421295166,0.2252005785703659,,
9,,3899,,,,,0.21480000019073486,2.6327438354492188
9,0.0005092407809570432,3899,,,0.9183292984962463,0.20374277234077454,,
10,,4289,,,,,0.3158999979496002,2.2762770652770996
10,0.0005497662350535393,4289,,,0.9262219667434692,0.18606534600257874,,
11,,4679,,,,,0.2865999937057495,2.784487009048462
11,0.0005823004175908864,4679,,,0.9346754550933838,0.1676585078239441,,
12,,5069,,,,,0.2648000121116638,3.186727523803711
12,0.0006389988702721894,5069,,,0.9442307949066162,0.14562496542930603,,
13,,5459,,,,,0.25760000944137573,3.516284465789795
13,0.0006567673990502954,5459,,,0.9515625238418579,0.12982003390789032,,
14,,5849,,,,,0.26739999651908875,3.799990653991699
14,0.0006774018402211368,5849,,,0.9546874761581421,0.11936107277870178,,
15,,6239,,,,,0.24699999392032623,4.173593044281006
15,0.0007260753773152828,6239,,,0.961838960647583,0.10166466236114502,,
16,,6629,,,,,0.28529998660087585,4.281088352203369
16,0.0007785156485624611,6629,,,0.9653445482254028,0.09322516620159149,,
17,,7019,,,,,0.28780001401901245,4.10962438583374
17,0.0007781130261719227,7019,,,0.967848539352417,0.08646001666784286,,
18,,7409,,,,,0.27399998903274536,4.530917167663574
18,0.0008019633241929114,7409,,,0.9699519276618958,0.08312519639730453,,
19,,7799,,,,,0.2696000039577484,4.574630260467529
19,0.0008183281170204282,7799,,,0.9744591116905212,0.07030723243951797,,
20,,8189,,,,,0.2865999937057495,4.780908107757568
20,0.0008692988776601851,8189,,,0.9757612347602844,0.06555114686489105,,
21,,8579,,,,,0.2754000127315521,5.063349723815918
21,0.0009207112598232925,8579,,,0.9774439334869385,0.061440326273441315,,
22,,8969,,,,,0.272599995136261,5.5073089599609375
22,0.0009177192114293575,8969,,,0.9806089997291565,0.05302893742918968,,
23,,9359,,,,,0.2793000042438507,5.529032230377197
23,0.0009139092289842665,9359,,,0.9786859154701233,0.05903356149792671,,
24,,9749,,,,,0.3018999993801117,5.0865068435668945
24,0.0009290066082030535,9749,,,0.9781049489974976,0.05885994806885719,,
25,,10139,,,,,0.26750001311302185,5.961813449859619
25,0.0009261071681976318,10139,,,0.9835537075996399,0.04716632887721062,,
26,,10529,,,,,0.2694999873638153,6.25165319442749
26,0.0009794102516025305,10529,,,0.9831330180168152,0.04609237238764763,,
27,,10919,,,,,0.2791999876499176,6.030975818634033
27,0.0010178305674344301,10919,,,0.982852578163147,0.04643768444657326,,
28,,11309,,,,,0.2662999927997589,6.493399143218994
28,0.0009988464880734682,11309,,,0.9842548370361328,0.04434974864125252,,
29,,11699,,,,,0.26179999113082886,6.794630527496338
29,0.001020448631606996,11699,,,0.9848357439041138,0.04357713460922241,,
30,,11700,0.265500009059906,6.649404525756836,,,,
