disc_loss,epoch,gen_loss,step,val_acc,val_loss
,0,,389,0.4374000132083893,0.7167301177978516
0.6939160227775574,0,0.6935446858406067,389,,
,1,,779,0.43720000982284546,0.7167112231254578
0.690759539604187,1,0.6904900670051575,779,,
,2,,1169,0.438400000333786,0.7165279984474182
0.6894521117210388,2,0.6891698837280273,1169,,
,3,,1559,0.43779999017715454,0.7167263031005859
0.6901466846466064,3,0.6883978247642517,1559,,
,4,,1949,0.43650001287460327,0.7167260050773621
0.6882073879241943,4,0.6888315677642822,1949,,
,5,,2339,0.43790000677108765,0.7165955305099487
0.6875876188278198,5,0.6874722242355347,2339,,
,6,,2729,0.43700000643730164,0.716783344745636
0.6845003366470337,6,0.6829833984375,2729,,
,7,,3119,0.4381999969482422,0.7167134284973145
0.6843366026878357,7,0.6830797791481018,3119,,
,8,,3509,0.4368000030517578,0.7167589068412781
0.6858755946159363,8,0.685714066028595,3509,,
,9,,3899,0.43810001015663147,0.7165935039520264
0.6850610375404358,9,0.6848101615905762,3899,,
,10,,4289,0.43799999356269836,0.7166270017623901
0.6858325600624084,10,0.684908926486969,4289,,
